Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
131066326987,SP Kanton Zürich,SP Kanton Zürich,37318,45
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,31849,99
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,21369,93
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,20986,30
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,17296,98
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,16729,179
169510248558,Die Mitte - Le Centre,Die Mitte,15850,33
202006389857644,Grünliberale Kanton Zürich,Grünliberale Partei Zürich,11751,137
126256997433456,SP Baselland,SP Baselland,10948,14
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,10902,59
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,10759,220
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,7444,40
1903129656584980,SP Uster,SP Uster,7356,25
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,6714,96
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,6321,12
108392832120312,Perspektive Zürich,Perspektive Zürich,5961,46
450602808776880,Martin Neukom,Martin Neukom,5679,20
610098352377102,Christian Pfaller,Komitee Christian Pfaller,5651,65
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,5013,18
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,4507,6
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,4467,15
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,4213,9
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,3977,29
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,3936,18
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,3909,56
82752099000,Alternative Liste ZH,Alternative Liste Zürich,3697,86
260591187302640,Parti socialiste genevois,Parti socialiste genevois,3557,30
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,3513,6
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,3432,20
103082059271118,SP Bezirk Hinwil,SP Wetzikon,3378,50
97220294896,SP Schweiz,SP Schweiz,3076,4
109469528675603,Philipp Egger,Philipp Egger,2869,24
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,2803,20
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,2657,32
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,2651,13
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,2636,48
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,2590,83
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,2500,3
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,2477,28
113035494739725,Simon Vlk,Simon Vlk,2472,5
187828241245131,Grüne Baselland,Grüne Baselland,2419,48
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,2247,59
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,2016,20
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,1909,20
1722137767860098,Grüne Bülach,Grüne Bülach,1888,57
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,1887,26
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,1886,15
109213507316253,SP Zürich 11,SP Zürich,1851,25
259871484198551,Thomas Matter,Thomas Matter,1815,10
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,1804,11
231086633606227,SVP Baselland,SVP Baselland,1686,395
103440272521713,Sarah Fuchs in den Kantonsrat,Sarah Fuchs,1667,28
194790813901953,Grüne Schweiz,Grüne Schweiz,1567,7
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,1449,14
105257442419923,Die Mitte Bezirk Bülach,Die Mitte Bezirk Bülach,1371,15
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,1356,14
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,1325,10
155659847849677,Martin Huber in den Kantonsrat,Martin Huber in den Kantonsrat,1305,7
375845269120737,FDP. Die Liberalen Dietikon,FDP. Die Liberalen Dietikon,1247,16
106254955524910,SVP Binningen,SVP Binningen,1217,3
1534982756793690,Foodvisor,These ads ran without a disclaimer,1215,4
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,1198,2
113326388690102,SP Zürich 1 und 2,SP Zürich 1+2,1188,2
921336971288655,Nagra,Nagra,1133,5
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,1122,4
101669982579717,Die Mitte Bezirk Uster,Die Mitte Bezirk Uster,1111,9
110151814882388,Benjamin Gautschi,Benjamin Gautschi,1098,8
1700824713324064,SP Zürich 10,SP Zürich 10,1087,19
109123788743774,Benjamin Frei,Benjamin Rolf Frei,1085,10
1476717905682561,SP Zürich 6,SP Zürich 6,1068,21
469738339721305,SP Zürich 3,Sozialdemokratische Partei Zürich 3,1057,24
388815591176119,SP Zürich 9,SP Zürich,1057,25
108351771294208,Hubert Boog,Hubert Walter Boog,1055,5
102691421255810,PlanBasel,PlanBasel,1043,3
156831187737967,JUSO Kanton Zürich,Jungsozialist*innen Kanton Zürich,1039,13
100489412910247,Nora Ernst - GLP,Nora Ernst - GLP,1015,7
1582348792001263,SP 4&5 Zürich,SP Zürich 4 & 5,1013,17
291359247729208,PS Suisse,PS Suisse,1000,2
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,997,17
109742838576665,Sandro Gerber - FDP.Die Liberalen - Kantonsratskandidat ZH 2023,sandrogerber,993,40
110409811924321,Urs Christian Eugster FDP,Urs Christian Eugster,979,3
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,977,6
1556534881244272,Grünliberale Bezirk Uster,Grünliberale Bezirk Uster,965,20
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,954,4
106264082355003,Sven Heinzelmann,Komitee «Sven Heinzelmann in den Kantonsrat»,953,13
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,939,5
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,936,18
1483343695307824,Campax,Campax,913,15
100432824661437,Bettina Balmer FDP,Bettina Balmer,905,9
105858378539790,FDP Wädenswil,FDP Wädenswil,865,1
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,836,7
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,829,29
2034886056799460,Raphael Tobler,Raphael Tobler,817,9
110547838607111,NON IN 179,FER Genève - Fédération des Entreprises Romandes Genève,795,8
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,793,3
1764183190338571,SVP Kreis 3,Derek Richter,785,13
354548604968651,Peter Metzinger in den Kantonsrat,Peter Alois Metzinger,778,14
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,773,12
488909884546537,GLP Winterthur Land,GLP Winterthur Land,772,18
154614821560013,FDP.Die Liberalen Uster,FDP Uster,750,1
105268722430698,Philippe Guldin GLP,Grunliberale,741,6
113189798267288,Karl Heinz Meyer Wahlkampf 2023,Karl Heinz Meyer,740,7
170262515730,FDP.Die Liberalen Arlesheim,FDP.Die Liberalen Arlesheim,722,10
1464489323856911,FDP Zürich 2,FDP Zürich 2,696,4
355710291577008,Grüne Kreis 3/9,Grüne Kreis 3/9,689,5
1604136306538918,Marc Wachter,Marc Michel Wachter,665,4
1607548886172610,Hans-Ulrich Bigler,Hans-Ulrich Bigler,664,1
112713445046863,Thomas Schlumpf,Thomas Schlumpf,657,2
360920524334417,Grünliberale Adliswil,Grünliberale Adliswil,656,17
210502125711731,FDP Bezirk Affoltern,FDP.Die Liberalen Knonaueramt,655,6
111516028427691,Die Mitte Oberes Baselbiet,Die Mitte Oberes Baselbiet,655,18
136341053227140,EVP Winterthur,EVP Kanton Zürich,646,26
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,635,37
145402065523845,Kanton Zürich,Kanton Zürich,630,1
164288990272811,FDP Region Winterthur in den Zürcher Kantonsrat,FDP Region Winterthur in den Zürcher Kantonsrat,628,8
105190875802704,Thomas Noack,Schweizer und Noack in den Regierungsrat,610,1
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,609,10
101012679501703,Stephan Siegel in den Landrat,Stephan Siegel in den Landrat,599,2
106300899437929,Patrick Hässig,Patrick Hässig,599,5
751036244998194,FDP Stadt Zürich Kreis 4&5,FDP Kreis 4&5,594,11
106964611977537,Switlo,Switlo,589,5
100247945907067,Züri wählt,züri wählt,544,1
778855988853776,SP Allschwil-Schönenbuch,SP Allschwil Schönenbuch,537,44
364939817683277,Marco Hirzel Politik,Marco Hirzel Politik,532,8
102014399307738,Direkt,direkt,528,5
1225312564279075,Karin Fehr Thoma,Karin Fehr Thoma,519,5
416743625125770,Grüne Zürichsee,GRÜNE Bezirk Meilen,511,7
106463701741400,Die Mitte Zürich 3+9,Die Mitte Zürich Kreis 3+9,508,5
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,507,4
105221044343308,Baisse d'impôts pour tous,"Initiative ""Baisse d'impôts pour tous : redonner du pouvoir d'achat à la classe moyenne.""",505,1
1984141558513511,Franziska Barmettler,Franziska Barmettler,503,20
191438050875440,Die Mitte  Basel-Landschaft,Die Mitte  Basel-Landschaft,501,5
110616465067898,Initiative Gesunde Jugend Jetzt,Die Junge Mitte Kanton Zürich,495,1
104942962435489,Sarah Regez,Sarah Regez,490,10
112662478341274,joelgretsch,Joel Gretsch,490,5
157913284377979,POP Nyon - La Côte,POP Nyon - La Côte,487,9
103580977678645,Julian Croci,Julian Andrea Croci,477,2
261452338060969,Domenik Lädi Ledergerber,Überparteiliches Unterstützungskomitee Domenik Ledergerber,462,5
110707875106219,SVP Bezirk Hinwil,SVP Bezirk Hinwil,456,6
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,450,4
107515328348195,Michael Uebersax,Michael Stefan Uebersax,447,10
993815333967102,Andreas Leupi,Andreas Patrick Leupi,438,10
105380182425137,Michael Jäger,Hans Michael Jäger,435,5
103638965961747,Gabriel Mäder - Grünliberale,Gabriel Markus Mäder,434,3
108692711660498,Urs Wegmann,Urs Wegmann,419,8
650175488441328,Martin Farner,Farners GmbH,418,1
854141954663925,Isabel Garcia GLP,Isabel Garcia Brunisholz,414,14
105306632453966,Tobias Mäder,Tobias Mäder,400,10
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,400,4
534190816671421,Michael Wiget,Michael Peter Wiget,400,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,393,2
143714586302267,Urs Bänziger FDP,Urs Baenziger,386,3
109889895328694,Megastrassen 2 x NEIN,Komitee gegen Megastrassen,386,8
476237372525131,Christa Isabelle Stünzi - glp ZH,Christa Isabelle Stünzi - glp ZH,380,2
355645665140771,Nicola Forster,Nicola Forster,378,14
169042736456594,All Out,All Out,365,4
104203868811586,Martina Dürr,Martina Regula  Dürr,360,3
1599925810096142,Kreis 6/10 mit glp in die Zukunft,Grünliberale Kreis 6 und 10,360,2
619051955163582,AWOB - Adrian Wegmann Oberrieden,Adrian Wegmann,354,4
100345702834585,All Out Deutschland,All Out,349,4
206831926864378,SVP Gelterkinden und Umgebung,SVP Gelterkinden und Umgebung,347,11
106856564074635,Hansjörg Germann FDP in den Kantonsrat,Hansjörg Beat Germann,342,11
116663695061094,SP Bezirk Meilen,SP Bezirk Meilen,340,12
864604443735247,SVP Bezirk Dietikon,SVP Bezirk Dietikon,328,3
116063758043441,Facundo Zimmerli,Facundo Nahuel Zimmerli,319,1
105386249047369,Jakob Ehrensperger,Jakob Ehrensperger,316,2
125466200895962,Valentin Landmann,Sven Kunz,306,8
100487835772742,Josef Widler in den Kantonsrat,Josef Widler,300,1
191136321464981,Die Mitte Stadt Winterthur,These ads ran without a disclaimer,300,1
100505278746845,Gesunde Finanzen,Organisation für gesunde Gemeindefinanzen,299,1
651956578553145,"Marita Verbali, FDP",Marita Verbali,297,8
190285574861316,Grüne Uster,Grüne Bezirk Uster,296,2
627220684023668,GRÜNE Zürich,Grüne Stadt Zürich,295,4
135939773133793,Grüne Winterthur,Grüne Winterthur,291,8
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,288,2
101384276204469,Ja zur Wiesli-Initiative am 12. März,"Initiativkomitee ""Ja zur Wiesli-Initiative""",285,6
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,283,4
589840718124415,Grünliberale Knonaueramt,Grünliberale Knonaueramt,280,8
103850865786634,Grünliberale Bezirk Hinwil,Grünliberale Bezirk Hinwil,274,15
113772441580575,JA zu Kies aus Birmenstorf,JA zu Kies aus Birmenstorf,273,9
281675942494661,SVP Bezirk Pfäffikon ZH,SVP Bezirk Pfäffikon ZH,267,5
103915262545181,KMU geprüft,KMU geprüft,267,70
1533854886905047,Elfenau Schweiz AG,Emanuel Georg Tschannen,262,1
269029886456205,Giorgio Fonio,Giorgio Fonio,259,4
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,257,3
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,251,11
110533229026103,EVP / PEV,EVP Schweiz,250,1
103571105961903,Marc-André Beck,Marc-André Beck,249,14
106615082184530,Raffael Grütter - GLP,Raffael Grütter,248,10
265041068300,JUSO Baselland,JUSO Baselland,247,1
135366813191979,Urs Waser Kantonsrat,Waser Urs,246,3
111539168454051,Avanti,Avanti,242,3
784812424962943,Tele Z,TELE Z,240,3
429342907157034,Beat Habegger,Beat Michael Habegger,238,4
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,237,1
101767182105712,Grüne Bezirk Affoltern,GRÜNE Bezirk Affoltern,236,15
285821738704789,Nathalie Aeschbacher,Nathalie Anna Aeschbacher,233,1
212175019347952,SVP Horgen,SVP Horgen,231,5
107717738487757,Viviane Kägi GLP,Viviane Kägi,230,5
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,226,5
1439209716323593,UDC Ticino,UDC Ticino,224,5
301243053989575,Mario Senn,Mario Senn,214,6
120204928045279,SP Wetzikon,SP Wetzikon,211,2
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,209,3
335609400529370,FDP Horgen,FDP Horgen,208,6
100980232576650,Muriel Langenberger,Muriel Langenberger,207,2
730158247033526,Readly,These ads ran without a disclaimer,206,1
36735923253,umverkehR,umverkehR,205,2
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,204,2
192244290829565,Anita Borer,Anita Borer,201,5
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,200,1
109023033782956,Unisanté,Unisanté,200,1
463645587339110,Piero Marchesi,UDC Ticino,198,4
591968957877984,Andrea Isler,Andrea Lara Isler,195,10
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,193,1
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,193,3
416743625125770,Grüne Zürichsee,Thomas Forrer,192,4
100240749524401,Deborah Scharpf,Deborah Luzia Maryse Scharpf,192,3
123731471009473,Yvonne Bürgin,Yvonne Bürgin,192,4
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,191,5
230522120377463,FDP Allschwil-Schönenbuch,FDP Allschwil-Schönenbuch,186,7
657830007560468,SP Aesch-Pfeffingen,SP Aesch-Pfeffingen,184,7
608260099589519,Dominic Täubert,EVP Kanton Zürich,184,2
108608181846149,Umut Gökbas,Mehmet Umut Gökbas,175,1
139890720097051,Die Mitte Muttenz,Die Mitte Muttenz,170,8
103369269163798,Mittendrin,Hanspeter Renggli,169,3
198432937394181,Philipp Müller in den Kantonsrat,Philipp Müller,167,2
101500332827222,SVP Wahlkreis Sursee,SVP Wahlkreis Sursee,165,6
103215392637344,Robin Kuhn,Robin Jonas Kuhn,160,2
107145438948044,Dominique Zygmont in den Kantonsrat,Dominique Daniel Zygmont,155,2
107494077464434,Janine Vannaz,Janine Vannaz,155,4
285304141802550,FDP Niederhasli,FDP Niederhasli,153,4
205884466254019,Alexandra Pfister in der Politik,Alexandra Pfister-Nevrala,152,1
2525584750795209,Nina Fehr Düsel,Nina Fehr Düsel,150,8
111500797368,SP Bezirk Winterthur,SP Bezirk Winterthur,150,2
355257441326519,Fabian Müller,Fabian Francois Müller,147,8
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,145,17
292711521138736,IPFO,International Photo Festival Olten,136,3
104530832464619,Mario Schwendener,Mario Schwendener,129,2
122819208305170,Sauvegarde Genève,Sauvegarde Genève,128,7
108667862595190,Les Vert-e-s La Côte,Les Vert·e·s de La Côte,128,4
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,127,9
205235402844715,SP Binningen,SP Binningen,124,3
102281186098428,Sara Sangiacomo,Rosaria Sangiacomo,118,3
206817592664659,Junge Grünliberale Zürich - jglp ZH,Junge Grünliberale Zürich - jglp ZH,115,3
377292365618914,SVP Stadt Winterthur,SVP Winterthur,113,6
416870065122171,Jungfreisinnige Winterthur,Jungfreisinnige Winterthur,109,8
104820235801310,Politische Rechte für geistig Behinderte,Lukas Paul Spichiger,109,2
105077090852878,Lucio Sansano,Lucio Carmelo Sansano,108,1
107376168891578,Curve prosper,These ads ran without a disclaimer,108,4
358536457645537,SVP Uster,Daniel Schnyder,105,2
175849189128043,"Andreas Seiler, FDP, Einwohnerrat Pratteln",Andreas Stefan Seiler,103,3
109425352024980,Sebastian Hektor Vogel am 12. Februar 2023 in den Kantonsrat,DarkHorse,101,9
190435673212,Grünliberale Kreis 4&5,GLP 4&5 – Grünliberale Partei,≤100,1
360151400680191,Die Mitte Stadt Luzern,Die Mitte Stadt Luzern,≤100,2
755554214495636,Parti Socialiste Neuchâtelois,Parti socialiste neuchâtelois,≤100,1
289772074451810,FDP.Die Liberalen Aargau,FDP.Die Liberalen Aargau,≤100,1
113273198762176,FDP.Die Liberalen Pratteln,FDP.Die Liberalen Pratteln,≤100,6
113201865012168,Claudia Bodmer-Furrer,Claudia Bodmer-Furrer,≤100,4
102833318045836,Nick Glättli,Nick Didier Glättli,≤100,3
100732476262537,GLP Willisau,GLP Wahlkreis Willisau,≤100,2
110838505070498,SVP Wädenswil,SVP Wädenswil,≤100,3
1521655228075451,solidaritéS Genève,solidaritéS Genève,≤100,4
92824188601,No Sleep Records,These ads ran without a disclaimer,≤100,8
580012422156679,Grüne Stadt Dübendorf,Grüne Stadt Dübendorf,≤100,2
102531252603779,Stephan Jung,Stephan Jung,≤100,1
110448418161537,FDP Hinwil,FDP Hinwil,≤100,1
904812763060757,Michael De Vita-Läubli,Michael De Vita-Läubli,≤100,1
101452637971744,Le Centre Lancy,Le Centre Lancy,≤100,3
689505424449213,Jungfreisinnige Limmattal,Jungfreisinnige Limmattal,≤100,2
100160498946252,Grüne Volketswil,Grüne Bezirk Uster,≤100,1
743745965833626,Benjamin Stricker,Benjamin Stricker,≤100,5
707321076049640,Monika Keller,Monika Keller,≤100,3
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,≤100,4
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
245489546137580,Christoph Riner - bodenständige Politik,Christoph Riner - bodenständige Politik,≤100,10
735945280122458,VCS Kanton Bern,VCS Sektion Bern,≤100,1
114998068149733,Dr. Stefan Meyer,Stefan Jörg Meyer,≤100,8
111616771110534,Beyond Riches,These ads ran without a disclaimer,≤100,1
102269201722239,TV Riviera 24,Tv Riviera 24,≤100,5
101791136062906,Notrechtsinitiative.ch,Notrechtsinitiative.ch,≤100,5
101622582809771,lucaft,lucaft,≤100,2
124924180944506,IHED-Islamischer Humanitärer Entwicklungsdienst,These ads ran without a disclaimer,≤100,1
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100,2
1377010385681695,Dubravko Sinovcic,Dubravko Sinovcic,≤100,1
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100,2
